,img1,img2,distance
483,impatiens.png,bifarius1.png,[0.03862267]
484,melanopygus1.png,bifarius1.png,[0.02750652]
485,melanopygus2.png,bifarius1.png,[0.01921233]
486,melanopygus3.png,bifarius1.png,[0.02568596]
487,mixtus.png,bifarius1.png,[0.02614212]
488,morrisoni.png,bifarius1.png,[0.04527481]
489,nevadensis.png,bifarius1.png,[0.04515458]
490,occidentalis1.png,bifarius1.png,[0.02265132]
491,occidentalis2.png,bifarius1.png,[0.04846545]
492,occidentalis3.png,bifarius1.png,[0.04040623]
493,pennsylvanicus1.png,bifarius1.png,[0.02765225]
494,pennsylvanicus2.png,bifarius1.png,[0.0270417]
495,pennsylvanicus3.png,bifarius1.png,[0.02577177]
496,perplexus.png,bifarius1.png,[0.048314]
497,rufocinctus1.png,bifarius1.png,[0.02375294]
498,rufocinctus2.png,bifarius1.png,[0.03039902]
499,rufocinctus3.png,bifarius1.png,[0.03006104]
500,rufocinctus4.png,bifarius1.png,[0.0290555]
501,sandersoni.png,bifarius1.png,[0.03382868]
502,sitkensis.png,bifarius1.png,[0.03522861]
503,sylvicola1.png,bifarius1.png,[0.01128999]
504,sylvicola2.png,bifarius1.png,[0.01784899]
505,sylvicola3.png,bifarius1.png,[0.01136435]
506,ternarius.png,bifarius1.png,[0.00590623]
507,terricola1.png,bifarius1.png,[0.02577177]
508,terricola2.png,bifarius1.png,[0.02030976]
509,vagans.png,bifarius1.png,[0.03532607]
510,vandykei.png,bifarius1.png,[0.02638533]
511,vosnesenskii.png,bifarius1.png,[0.04833778]
512,affinis.png,bifarius2.png,[0.02661141]
513,appositus.png,bifarius2.png,[0.04179356]
514,auricomus1.png,bifarius2.png,[0.03399315]
515,auricomus.png,bifarius2.png,[0.03649903]
516,balteatus1.png,bifarius2.png,[0.03360903]
517,balteatus2.png,bifarius2.png,[0.03164079]
518,balteatus.png,bifarius2.png,[0.03237854]
519,bifarius1.png,bifarius2.png,[0.01294662]
520,bifarius2.png,bifarius2.png,[0.]
521,bifarius3.png,bifarius2.png,[0.00979055]
522,bifarius4.png,bifarius2.png,[0.00267295]
523,bimaculatus.png,bifarius2.png,[0.04587412]
524,borealis1.png,bifarius2.png,[0.04179356]
525,borealis2.png,bifarius2.png,[0.03056106]
526,californicus1.png,bifarius2.png,[0.01983579]
527,californicus2.png,bifarius2.png,[0.0066948]
528,californicus3.png,bifarius2.png,[0.01574706]
529,caliginosus2.png,bifarius2.png,[0.03515415]
530,caliginosus.png,bifarius2.png,[0.01221756]
531,centralis.png,bifarius2.png,[0.03114931]
532,crotchii1.png,bifarius2.png,[0.01918038]
533,crotchii2.png,bifarius2.png,[0.02374902]
534,crotchii.png,bifarius2.png,[0.02127729]
535,fervidus.png,bifarius2.png,[0.03621676]
536,flavifrons1.png,bifarius2.png,[0.05168598]
537,flavifrons2.png,bifarius2.png,[0.04388104]
538,flavifrons3.png,bifarius2.png,[0.03596609]
539,flavifrons4.png,bifarius2.png,[0.03243536]
540,flavifrons5.png,bifarius2.png,[0.03251521]
541,flavifrons6.png,bifarius2.png,[0.03174671]
542,franklini.png,bifarius2.png,[0.04788669]
543,fraternus.png,bifarius2.png,[0.03886086]
544,frigidus.png,bifarius2.png,[0.03054449]
545,griseocollis.png,bifarius2.png,[0.04386058]
546,huntii.png,bifarius2.png,[0.02232105]
547,impatiens.png,bifarius2.png,[0.03851835]
548,melanopygus1.png,bifarius2.png,[0.01962227]
549,melanopygus2.png,bifarius2.png,[0.03339173]
550,melanopygus3.png,bifarius2.png,[0.04238027]
